pk,jsondata,id,name,description,markup_description
149,"{""vdoc"": ""0==No||1==Yes""}",ICS38,Does the language have a case system that distinguishes between the agent of an intransitive action verb and the patient of intransitive process verbs?,"Corresponds to WALS feature number: 98 [http://wals.info], Constenla feature number: 25 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
150,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs""}",NP508,Which word class do (the majority of) words denoting SPEED belong to?,"fast', 'quick', 'slow', etc.",
151,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-09a,Is there a laminal/apical contrast?,,
152,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-09b,Are there retroflexed consonants?,,
153,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-04a,Is plant status a relevant category in the noun class/gender system?,,
154,"{""vdoc"": ""0==No||1==Yes""}",ARW2-7-01,Is there a decimal counting system?,"i.e. elements of decimal; even lexical 10, 10+5 qualify",
155,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-01a,Are there suppletive verbs for tense or aspect?,,
156,"{""vdoc"": ""A==no||B==yes: (POSR)  pers.pos.pref-POSSD||C==yes: (POSR)  POSSD-pers.pos.suf/clitic||D==yes: (POSR)  pers.pos.pref-POSSD-possessed||E==yes: (POSR) pers.pos.pref-rlt-POSSD||F==yes: (POSR) POSSD-possessed||G==yes: (POSR) rlt-POSSD||H==yes: (POSR)  linker-POSSD-possessed||I==yes: pers.pos.pref-classifier POSSD""}",NP402,"In possessive constructions with a nominal possessor, is the POSSESSED noun usually marked? (state most frequent construction; NB: if marking depends on alienability, state marking of possessor in ALIENABLE constructions)","Terminology: pos.marker = possessive marker which is a free or bound form which indicates possession, and which is morphosyntactically associated with a noun denoting possessor. Pers.pos.pref/suf = personal possessive prefix or suffix is an affix which encodes person, number and/or gender of a possessor and which appears on the possessed noun. Possessed = refers to a free or bound form which indicates that an item is possessed and morphosyntactically associated with a noun denoting the possessed entity. NB: word order of possessor vs. possessed is symbolic, and is specified in a separate section!",
157,"{""vdoc"": ""0==No||1==Yes""}",ARW2-4-09,Can plural number be marked on the noun itself?,number-marking on N does not count phrase-level clitic or reduplication,
158,"{""vdoc"": ""0==No||1==Yes""}",ARW3-1-05a,"Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A &amp; S + TAM)?",,
159,"{""vdoc"": ""0==there is no past marker||1==only one past is marked ||2==two different are marked (two markers for past, e.g. recent and remote)||3==three different are marked (three markers for past, e.g. recent, remote, far)||4==four different past tenses are marked||5==five different past tenses are marked||6==six different past tenses are marked""}",TAME1-3-1,"In terms of remoteness, how many past tenses are marked morpho-syntactically?","e.g. recent, remote, far etc.",
160,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-05d,Does the Demonstrative occur in the NP after the N?,,
161,"{""vdoc"": ""0==No||1==Yes""}",ARW2-7-02,Is there evidence for any element of a quinary counting system?,"(e.g. expressions for 5+1, 10+5+1)",
162,"{""vdoc"": ""1==yes||0==no""}",NP820,Are there any (grammaticalized) sex-markers? (realized on the noun itself),By sex-marker a marker is understood which optionally occurs on a noun to specify or focus on the gender of its referent. Therefore not obligatory as gender system.,
163,"{""vdoc"": ""1==true||0==false""}",ARGEX4-1,Language has two classes of intransitive verbs with separate formal marking of their arguments,,
164,"{""vdoc"": ""1==true||0==false""}",ARGEX7-1,Applicative constructions can be marked by verbal morphology,,
165,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2a-02,Is there a morphologically marked antipassive?,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,
166,"{""vdoc"": ""Y==yes||N==no||?==not known""}",FFQ7,More affricates than fricatives (phonemic),equal amount is N,
167,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-08,"Is there productive incorporation of other elements (adjectives, locatives, etc.) into verbs?",,
168,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-13a,Are there two or more contrastive central vowels?,,
169,"{""vdoc"": ""Y==yes||N==no||?==not known""}",FFQ6,Retroflex affricates (phonemic),,
170,"{""vdoc"": ""A==posser-possedN||B==possedN-posser||C==both orders with neither order dominant||D==both but for specific constructions""}",NP130,What is the most frequent order of possessor and possessed?,(pos-or realized by full NP),
171,"{""vdoc"": ""0==false||2==||3==||4==||N/A==not applicable""}",NP317,How many distance contrasts do adverbial demonstratives encode?,,
172,"{""vdoc"": ""A==different root||B==same root but different inflectional markers||C==same root and same (or no) markers||D==both are used: different root and same root with different inflectional markers||E==both are used: different root and same root same (or no) inflectional markers||F==demonstratives are not used adnominally, adverbial dem is in use""}",NP316,What is the morphological composition of adverbial demonstratives (as compared to adnominal dem.)?,,
173,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP315,Do demonstratives receive different inflectional features when used pronominally or adnominally?,,
174,"{""vdoc"": ""A==no||B==only proximate dem||C==only distal dem||D==all dem-s||N/A==not applicable""}",NP314,Do adnominal demonstratives roots require further derivation?,,
176,"{""vdoc"": ""1==yes||0==no||N/A==not applicable i.e. referring to 'adnominal' demonstratives - not to the semantic feature encoded""}",NP312,Can adnominal demonstratives encode number?,,
177,"{""vdoc"": ""1==yes||0==no||N/A==not applicable i.e. referring to 'adnominal' demonstratives - not to the semantic feature encoded""}",NP311,Can adnominal demonstratives encode gender?,,
178,"{""vdoc"": ""1==yes||0==no||N/A==not applicable i.e. referring to 'adnominal' demonstratives - not to the semantic feature encoded""}",NP310,Can adnominal demonstratives encode animacy?,,
179,"{""vdoc"": ""0==No||1==Yes""}",ARW2-3-07,Are demonstratives classified?,,
180,"{""vdoc"": ""0==No||1==Yes""}",ARW2-3-05,Is elevation morphologically marked in demonstratives?,,
181,"{""vdoc"": ""0==No||1==Yes""}",ARW3-4-02,Are benefactive nominals marked on the verb?,,
182,"{""vdoc"": ""Y==yes||N==no||?==not known""}",FFQ5,Velar-uvular opposition for stops (phonemic),,
183,"{""vdoc"": ""0==No||1==Yes""}",ICS6,Are there tonal contrasts?,"Corresponds to WALS feature number: 13 [http://wals.info], Constenla feature number: 49 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
184,"{""vdoc"": ""0==No||1==Yes""}",ARW3-4-04,Are there syntactically ditransitive verbs?,,
185,"{""vdoc"": ""1==yes||0==no""}",NP720,Do nouns have a morphologically marked dual?,(OK: dual seems to be unusual in Amazonia?),
186,"{""vdoc"": ""1==true||0==false""}",ARGEX3-1,Language has a scenario-based split in verbal argument marking,,
187,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-9,Is intentional marked morpho-syntactically?,"intention, planning",
188,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||IMPPOL==imperative marker and additional marker""}",TAME2-8,Is a polite/ mild/ weak imperative marked morpho-syntactically?,,
189,"{""vdoc"": ""0==No||1==Yes""}",ARW2-3-02a,Is there an opposition between three or more distance terms in the demonstrative system?,,
190,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-3,Is imperative mood marked morpho-syntactically with one marker for more than one person and number?,one marker for command that can apply to all persons and number or only a selection of those (this does not exclude the possibility that there are additional ways to mark imperative),
191,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-2,Is irrealis mood marked morpho-syntactically?,,
192,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-1,Is realis mood marked morpho-syntactically?,,
193,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-7,Is prohibitive marked morpho-syntactically?,a negative command (Do not...),
194,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-6,Is imperative for 3rd person only marked morpho-syntactically?,"command adressing the 3rd person, sometimes called jussive (Let him/them)",
195,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-5,Is imperative for 2nd person only marked morpho-syntactically?,one marker applying specifically for commands adressing a 2nd person (Go!/Sing!),
196,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME2-4,Is imperative for 1st person only marked morpho-syntactically?,"sometimes called hortatory, exhortative, cohortatory (Let us/me)",
197,"{""vdoc"": ""0==No||1==Yes""}",ARW69,Is there a plural suffix similar to -no,,
198,"{""vdoc"": ""0==No||1==Yes""}",ARW68,Are there two suppletive forms for 'house' depending on possessability?,,
199,"{""vdoc"": ""0==No||1==Yes""}",ARW63,3PL has separate gender/person and plural marking,,
200,"{""vdoc"": ""0==No||1==Yes""}",ARW62,3PL is not marked by suffix/enclitic,,
201,"{""vdoc"": ""0==No||1==Yes""}",ARW61,3SG is not marked by suffix/enclitics,,
202,"{""vdoc"": ""0==No||1==Yes""}",ARW60,3PL is not marked by prefix/proclitic,,
203,"{""vdoc"": ""0==No||1==Yes""}",ARW67,Is there a privative prefix with the form mA-?,,
204,"{""vdoc"": ""0==No||1==Yes""}",ARW66,Is there an attributive prefix with the form kA-?,,
205,"{""vdoc"": ""0==No||1==Yes""}",ARW65,Is reduplication a productive process?,,
206,"{""vdoc"": ""0==No||1==Yes""}",ARW64,Is there a difference between human and non-human plural marking? or animate vs. inan,,
207,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-08,(Swintha) Are there classifiers?,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",
208,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-09,Are there numeral classifiers? [ARW2-5-09],"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",
209,"{""vdoc"": ""1==true||0==false""}",ARGEX10-1,Reflexives constructions are marked with verbal morphology,,
210,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-04,Is animacy (without reference to sex)  a relevant category in the noun class/gender system?,,
211,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-05,Does the language only have a gender distinction in 3rd person pronouns?,emphasis on ONLY; cf. 2.2.02,
212,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-06,"Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?",related to class/gender,
213,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-07,"Is there concord beyond the NP, i.e. agreement of elements outside the NP with the noun class of a noun?",related to class/gender,
214,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-01,Are there noun classes/genders?,By noun classes/genders is meant a system of dividing all or almost all of the nouns of a language into morphological classes which determine agreement phenomena beyond the noun itself.,
215,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-02,Is sex a relevant category in the noun class/gender system?,,
216,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-03,Is shape a relevant category in the noun class/gender system?,,
217,"{""vdoc"": ""0==No||1==Yes""}",ARW8,There is a voiced labio-dental [v],,
218,"{""vdoc"": ""0==No||1==Yes""}",ARW9,There is a bilabial fricative [B],,
219,"{""vdoc"": ""0==No||1==Yes""}",ARW1,There are palatalized stops,,
220,"{""vdoc"": ""0==No||1==Yes""}",ARW2,Palatalized stops result from morphophonological changes,,
221,"{""vdoc"": ""0==No||1==Yes""}",ARW3,Aspirated stops result from morphophonological changes,,
222,"{""vdoc"": ""0==No||1==Yes""}",ARW4,There is no voice distinction in stops,,
223,"{""vdoc"": ""0==No||1==Yes""}",ARW5,Voiced stops result from morphophonological changes,,
224,"{""vdoc"": ""0==No||1==Yes""}",ARW6,Stops are unstable and frequently undergo phonetic change,,
225,"{""vdoc"": ""0==No||1==Yes""}",ARW7,The phoneme [b] is restricted to onomatopoeia and loans or is an allophone of [p],,
226,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-03,"Are S and O conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?",,
227,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-02,"Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?",,
228,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-01,"Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?",,
229,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-06,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,,
230,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-05,"Do S and O operate in the same way, and differently from A, for the purpose of any syntactic construction?",,
231,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2-04,"Are S and A conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?",,
232,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-01,"Is there case marking for core nominal NPs (i.e., S, A or O function)?","for case marking, include any affixal marking which appears in the NP and shows the function of the NP in the clause; do not count adpositions",
233,"{""vdoc"": ""0==No||1==Yes""}",ARW1-2-02,Are there word-final consonants?,,
234,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-03,Are there prepositions?,,
235,"{""vdoc"": ""0==No||1==Yes""}",ARW1-2-04,Are there consonant clusters (not counting prenasalized consonants) in syllable coda?,,
236,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-05,Are there adpositions to mark core NPs?,,
237,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-06,Are there adpositions to mark oblique NPs?,,
238,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-07,Is there a distinction between locational and directional adpositions?,,
239,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-08,"Do verbs classify the shape, size, consistency or position of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",not included here are positional verbs that classify a referent in such terms - covered by 3.8.02,
240,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-06,Is there morphology (include clitics) to mark a reflexive action?,free word/particle does not count; neither a default P/N co-reference,
241,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-07,Is there morphology (include clitics) to mark a reciprocal action?,,
242,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-04,Is there transitivising morphology (include clitics)?,,
243,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-05,Is there intransitivising morphology (include clitics)?,,
244,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-02,Are there conjugation classes?,,
245,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-03,Can a large proportion of verbs be used either transitively or intransitively with no morphological marking?,say no if it's only one or two stems; Intended here is the 'break' and 'open' type; not John eats/ eats the bread,
246,"{""vdoc"": ""0==No||1==Yes""}",ARW3-6-01,Are there suppletive verbs for number of participants?,"(list them all if feasible, otherwise give an estimate of the number and/or proportion of nouns)",
247,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-18,Are variations in marking strategies based on person distinctions?,,
248,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-16,Are variations in marking strategies based on verb classes?,,
249,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-17,"Are variations in marking strategies based on clause type, e.g. main vs subordinate?",,
250,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-15,Are variations in marking strategies of core participants based on TAM distinctions?,3.3.15-18 refer to variations (if they occur) in 3.3.07-12,
251,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-12,Is the O participant (at least sometimes) marked by a prefix/proclitic?,,
252,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-10,Is the A participant (at least sometimes) marked by a prefix/proclitic?,,
253,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-11,Is the O participant (at least sometimes) marked by a suffix/enclitic?,,
254,"{""vdoc"": ""0==No||1==Yes""}",ARW3-8-04,"Is there a notably small number, i.e. about 1nono or less,  of verbs in the language?",,
255,"{""vdoc"": ""0==No||1==Yes""}",ARW3-8-01,Is there one or more existential verb?,,
256,"{""vdoc"": ""0==No||1==Yes""}",ARW3-8-02,Are there positional (classificatory) verbs?,"(i.e. in answer to a question 'Where is the X', does the verb used in the answer depend on the type of referent (e.g. do you have to say 'The X sits/stands/lies/etc on the table'). List them all.",
257,"{""vdoc"": ""0==No||1==Yes""}",ARW3-8-03,Is the verb 'give' morphologically peculiar (different from most other verbs?,e.g. stem suppletion; different affixation,
258,"{""vdoc"": ""0==there is no future marker||1==only one future is marked||2==two different are marked (two markers for future, e.g. recent and remote)||3==three different are marked (three markers for future, e.g. recent, remote, far)||4==etc.""}",TAME1-2-1,"In terms of remoteness, how many future tenses are marked morpho-syntactically?","e.g. immediate, remote, far, mythical etc.",
259,"{""vdoc"": ""1==true||0==false""}",ARGEX2-10-1,Ditransitive verbs can mark both R and T simultaneously,,
260,"{""vdoc"": ""1==true||0==false""}",ARGEX9-1-2,The marking of antipassive constructions is conflated with the marking of reciprocals and/or reflexives,,
261,"{""vdoc"": ""1==true||0==false""}",ARGEX9-1-1,The demoted P argument can be expressed as an oblique,,
262,"{""vdoc"": ""0==No||1==Yes""}",ICU26,Is the coding of comitatives and instrumentals identical?,"Corresponds to WALS feature number: 52 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
263,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-01a,Is there present tense regularly morphologically marked on the verb?,,
264,"{""vdoc"": ""0==No||1==Yes""}",ICU24,Do demonstratives indicate a 2-way contrast?,"Corresponds to WALS feature number: 41 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
265,"{""vdoc"": ""1==true||0==false""}",ARGEX8-1-1,The demoted A argument of a passive construction can be expressed in the clause,,
266,"{""vdoc"": ""0==No||1==Yes""}",ICU25,Do demonstratives indicate a 3 (or more)-way contrast?,"Corresponds to WALS feature number: 41 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
267,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-6,Is an iterative action marked morpho-syntactically? (single and/or multiple repetition)?,,
268,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-7,Is a completive action marked morpho-syntactically?,i.e. focus is on the completeness of a situation,
269,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-4,Is an habitual action marked morpho-syntactically?,"a situation happening over an extended period of time again and again; a habit, a custom etc.",
270,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-5,Is a continuative action marked morpho-syntactically?,an action ongoing at some point of reference; including progressive,
271,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-2,Is imperfective marked morpho-syntactically?,"a situation is seen from within, concerning its internal temporal structure",
272,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-3,Is anterior marked morpho-syntactically?,expressing continuous present relevance of a past situation,
273,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME3-1,Is perfective marked morpho-syntactically?,a situation is seen as a single whole,
274,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown||REP==repetition of (parts of) the verb""}",TAME3-8,Is an incompletive action marked morpho-syntactically?,"i.e. focussing on a situation that is unfinished, ongoing/in opposition to the completive",
275,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME4-1,Is firsthand information marked morpho-syntactically?,i.e. sth directly experienced through the senses,
276,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME4-3,Is secondhand information marked morpho-syntactically (may include third-hand information)?,"i.e. reportative, includes hearsay",
522,"{""vdoc"": ""0==No||1==Yes""}",ARW4-1-08,Can negation be marked clause-initially?,Don't include elliptical 'Not Mary',
277,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME4-2,Is non-firsthand information marked morpho-syntactically?,one marker for everything not directly witnessed,
278,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME4-5,Is visual evidentiality marked morpho-syntactically?,sth seen only,
279,"{""vdoc"": ""N==no||AFF==affix||CLI==clitic||PAR==particle||AUX==auxiliary||STEM==stem change/ suppletion||?==unknown""}",TAME4-4,Is quotative marked morpho-syntactically?,i.e. a report with exact indication of who said it,
280,"{""vdoc"": ""0==No||1==Yes""}",ARW29,There is an open class of adjectives,,
281,"{""vdoc"": ""0==No||1==Yes""}",ARW28,There is a causative suffix,,
282,"{""vdoc"": ""0==No||1==Yes""}",ARW27,There is a causative prefix,,
283,"{""vdoc"": ""0==No||1==Yes""}",ARW26,"The language is mostly suffixing, with only a few prefixes",,
284,"{""vdoc"": ""0==No||1==Yes""}",ARW25,Feminine gender is the default gender,,
285,"{""vdoc"": ""0==No||1==Yes""}",ARW24,"Roots are mostly disyllabic, but a few are monsyllabic",,
286,"{""vdoc"": ""0==No||1==Yes""}",ARW23,"Suffixes are mostly monosyllabic, but a few are disyllabic",,
287,"{""vdoc"": ""0==No||1==Yes""}",ARW22,Prefixes are generally monosyllabic,,
288,"{""vdoc"": ""0==No||1==Yes""}",ARW21,There is labialization of consonants,,
289,"{""vdoc"": ""0==No||1==Yes""}",ARW20,There is final vowel elision (word- or syllable-finally),,
290,"{""vdoc"": ""A==adv-A||B==A-adv||C==language has other means to mark degree""}",NP160,What is the most frequent order of adjective and degree word?,,
291,"{""vdoc"": ""1==true||0==false""}",ARGEX12-1,Anticausative constructions are marked with verbal morphology,,
292,"{""vdoc"": ""0==No||1==Yes""}",ARW2-9-04,Are there postpositions?,,
293,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP223,Is there agreement in PHYSICAL PROPERTIES between numeral and noun?,,
294,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP222,Is there agreement in GENDER between numeral and noun?,,
295,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP221,Is there agreement in NUMBER between numeral and noun?,,
296,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP220,Is there agreement between numeral and the noun in the NP?,,
297,"{""vdoc"": ""0==No||1==Yes""}",ICU39,Is a polar question indicated by verbal morphology?,"Corresponds to WALS feature number: 116 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
298,"{""vdoc"": ""0==No||1==Yes""}",ICU38,Is a polar question indicated by a question particle?,"Corresponds to WALS feature number: 116 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
299,"{""vdoc"": ""A==obligatory||B==variable||C==not expressed""}",ARGEX2-4-1,Verbal person markings for A when lexical argument is realized within clause are,,
300,"{""vdoc"": ""0==No||1==Yes""}",ICU31,Does the perfect marker come from 'finish' or 'already'?,"Corresponds to WALS feature number: 68 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
301,"{""vdoc"": ""0==No||1==Yes""}",ICU30,Does the language mark the perfect?,"Corresponds to WALS feature number: 68 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
302,"{""vdoc"": ""0==No||1==Yes""}",ICU33,Is there a morphologically dedicated second person imperative that does not distinguish between singular and plural?,"Corresponds to WALS feature number: 70 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
303,"{""vdoc"": ""0==No||1==Yes""}",ICU32,Is there a morphologically dedicated second singular as well as second plural imperative?,"Corresponds to WALS feature number: 70 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
304,"{""vdoc"": ""0==No||1==Yes""}",ICU35,Is the prohibitive expressed with a special imperative (not the normal 2S imperative)?,"Corresponds to WALS feature number: 71 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
305,"{""vdoc"": ""0==No||1==Yes""}",ICU34,Is the prohibitive expressed with a special negative marker (not found in declaratives)?,"Corresponds to WALS feature number: 71 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
306,"{""vdoc"": ""0==No||1==Yes""}",ICU37,Are evidentials marked with a separate particle?,"Corresponds to WALS feature number: 78 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
410,"{""vdoc"": ""0==No||1==Yes""}",ARW2-6-01,Are there possessive classes?,(i.e. different nouns treated differently in possession according to semantically-based groupings. Include alienable/inalienable.),
307,"{""vdoc"": ""0==No||1==Yes""}",ICU36,Are evidentials marked on the verb as an affix or clitic?,"Corresponds to WALS feature number: 78 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
308,"{""vdoc"": ""A==independent prefix/proclitic||B==independent suffix/enclitic||C==fused with person||D==none""}",ARGEX2-5,Number can be marked for A,,
309,"{""vdoc"": ""Y==yes||N==no||?==not known""}",FFQ4,Palatal nasal (phonemic),,
310,"{""vdoc"": ""1==true||0==false""}",ARGEX3-1-2,Referential arguments in inverse constructions are treated with a marker set distinct from that used to index the referential argument in direct constructions,,
311,"{""vdoc"": ""0==No||1==Yes""}",ARW4-1-10,Are verbal and non-verbal predicates marked by the same negator?,,
312,"{""vdoc"": ""0==No||1==Yes""}",ARW4-3-05a,"Are there relative clauses, i.e. embedded construction by which a clause modifies a head N?","This excludes paratactic constructions such as 'correlative clauses', i.e. 'the man went away. The man killed the pig' translatable as 'The man who killed the pig went away'.",
313,"{""vdoc"": ""1==true||0==false""}",ARGEX7-1-1,Applicative constructions only select benefactive/malefactive participants,,
